                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.4164,                 1.9065,                 1.0285,                 1.0374,                0.35121,                0.27746,                0.23656,                0.12371,                0.38577,                0.17385,                0.17601,                0.08016,                 1.9428,                 2.9943,                 2.2213,                 1.2772,              0.0011719,              0.0011719,              0.0011719
                     92,                 1.3996,                 1.9182,                 1.0234,                 1.0415,                0.38548,                  0.268,                0.22773,                0.12066,                0.32269,                0.20759,                0.17172,                 0.0714,                 1.9897,                 2.8837,                 2.2433,                 1.3939,              0.0011664,              0.0011664,              0.0011664
                     93,                 1.4078,                 1.9276,                 1.0292,                 1.0409,                0.36899,                0.29818,                0.24667,                0.12863,                0.34467,                0.23154,                0.21306,                0.09321,                 2.0194,                 2.7774,                   2.17,                 1.3943,              0.0011609,              0.0011609,              0.0011609
                     94,                   1.39,                 1.8526,                 1.0004,                 1.0389,                0.38145,                0.26791,                0.24234,                0.12371,                 0.3669,                0.18191,                0.19731,                0.08592,                 1.9367,                 3.1003,                 2.5167,                 1.2742,              0.0011554,              0.0011554,              0.0011554
                     95,                 1.4295,                 1.8975,                 1.0298,                 1.0412,                0.44759,                0.22956,                0.22704,                 0.1147,                0.22903,                0.25078,                0.18723,                0.07396,                 2.1399,                 3.0086,                  2.044,                  1.535,              0.0011499,              0.0011499,              0.0011499
                     96,                 1.3971,                 1.8714,                 1.0192,                  1.035,                0.30398,                0.28912,                0.22529,                 0.1141,                0.24304,                0.24941,                0.18758,                0.08237,                 2.0752,                  2.861,                 2.3526,                 1.4597,              0.0011444,              0.0011444,              0.0011444
                     97,                 1.4124,                 1.8971,                 1.0244,                 1.0438,                0.30486,                0.28403,                0.21617,                0.10971,                0.27304,                0.22025,                0.18583,                0.08031,                 2.1673,                 2.9486,                 2.2561,                 1.4244,              0.0011389,              0.0011389,              0.0011389
                     98,                 1.4033,                 1.8723,                 0.9977,                 1.0389,                0.36672,                0.28069,                0.24787,                0.12227,                0.31123,                0.21864,                0.18837,                0.08182,                 2.0415,                 2.9566,                 2.2624,                 1.4026,              0.0011334,              0.0011334,              0.0011334
                     99,                 1.3901,                 1.8955,                0.98823,                 1.0317,                0.35017,                0.27274,                 0.2304,                0.10936,                0.29265,                0.23465,                0.19084,                0.07397,                 2.2297,                 2.9728,                  2.076,                 1.5401,              0.0011279,              0.0011279,              0.0011279
                    100,                 1.3909,                 1.8816,                0.99243,                 1.0282,                0.43194,                0.21989,                0.22749,                0.11369,                 0.2538,                0.21703,                0.17899,                 0.0782,                 2.1847,                 2.9678,                 2.1953,                  1.552,              0.0011224,              0.0011224,              0.0011224
