                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.7896,                  2.357,                 1.4985,                 1.1737,                0.34539,                0.25525,                0.22074,                0.11191,                0.30652,                0.22666,                0.19252,                0.08107,                 2.1165,                 2.6944,                 2.2603,                 1.3163,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.7807,                 2.3533,                 1.5048,                 1.1615,                0.34895,                0.24344,                0.20902,                0.10486,                0.34151,                0.18975,                0.17567,                0.07377,                 2.1445,                 2.6044,                 2.3836,                  1.317,               0.001425,               0.001425,               0.001425
                     46,                 1.7751,                 2.2872,                 1.4821,                 1.1494,                0.33937,                 0.3225,                0.23089,                0.11566,                 0.2579,                0.24606,                0.19163,                0.07312,                 1.9196,                 2.6399,                 2.2478,                  1.225,              0.0014195,              0.0014195,              0.0014195
                     47,                 1.7701,                 2.3167,                 1.4464,                 1.1623,                0.36543,                0.27795,                0.24294,                0.11875,                0.32187,                0.21268,                0.19358,                0.07656,                 1.9461,                 2.4739,                 2.2115,                  1.252,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.7997,                 2.3311,                 1.4524,                 1.1702,                0.38667,                0.28796,                0.25209,                0.12154,                0.31611,                0.22223,                0.20096,                0.07619,                 2.0305,                 2.6321,                 2.0613,                 1.3448,              0.0014084,              0.0014084,              0.0014084
                     49,                  1.795,                 2.3342,                 1.4958,                 1.1655,                0.36487,                0.29371,                0.24062,                0.12134,                0.27221,                0.26678,                0.19565,                0.07355,                 2.0422,                 2.6839,                 2.1576,                 1.3343,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.7398,                 2.2448,                 1.4062,                 1.1445,                0.54681,                 0.2169,                0.25767,                0.12691,                0.46186,                0.18042,                0.19951,                0.08049,                 2.0004,                 2.8194,                 2.2162,                 1.2631,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.7403,                 2.2668,                 1.4491,                 1.1436,                0.41332,                 0.2571,                0.24125,                0.11856,                0.39543,                0.16938,                0.18046,                0.07135,                 2.1556,                 2.7337,                 1.9904,                 1.3824,              0.0013919,              0.0013919,              0.0013919
                     52,                 1.7314,                 2.2997,                 1.4187,                 1.1426,                0.33797,                0.27795,                0.23215,                0.11306,                0.28014,                0.21417,                0.17209,                0.06142,                 2.1061,                 2.8516,                 2.2674,                 1.3892,              0.0013864,              0.0013864,              0.0013864
                     53,                 1.7325,                 2.2891,                 1.4108,                 1.1462,                0.32291,                0.27932,                0.22077,                0.10474,                0.29488,                0.18861,                0.17215,                  0.065,                 2.1675,                 2.6045,                 2.0425,                 1.4311,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.7386,                 2.2578,                 1.3824,                 1.1437,                0.40078,                0.26529,                0.25059,                0.12164,                0.37114,                0.19667,                0.19907,                0.07615,                 2.1671,                 2.7689,                 2.0372,                 1.4213,              0.0013754,              0.0013754,              0.0013754
                     55,                 1.7124,                 2.2239,                 1.3624,                 1.1297,                0.43142,                0.26876,                0.25938,                0.13138,                0.36458,                0.23705,                0.21157,                0.08223,                 1.9318,                 2.6338,                 2.1793,                 1.2884,              0.0013699,              0.0013699,              0.0013699
                     56,                  1.739,                 2.2478,                 1.4075,                 1.1377,                0.37777,                0.28439,                0.24897,                0.11537,                0.30117,                0.19469,                0.16994,                0.06905,                 2.1205,                 2.5859,                 2.1935,                 1.3538,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.6521,                 2.1512,                 1.3249,                  1.109,                0.37641,                 0.2746,                0.23367,                0.11602,                0.32496,                 0.2138,                0.18008,                0.07247,                 2.0185,                 2.8011,                 2.2962,                 1.2965,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.6905,                 2.2153,                 1.3349,                 1.1228,                0.41144,                0.28391,                0.24327,                0.12195,                0.30627,                0.20948,                0.19056,                0.07349,                 2.0455,                  2.691,                 2.1995,                 1.3214,              0.0013534,              0.0013534,              0.0013534
                     59,                 1.6756,                 2.1833,                 1.3208,                  1.109,                 0.4379,                0.27285,                0.26223,                0.12492,                0.35393,                0.19074,                0.19489,                0.07994,                 2.2208,                 2.6596,                  1.794,                 1.4647,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.6541,                 2.1789,                 1.3044,                 1.1098,                0.31221,                0.27621,                0.24198,                0.11945,                0.35235,                0.17893,                0.18154,                0.07023,                 2.0663,                 2.7193,                 1.9086,                 1.3669,              0.0013424,              0.0013424,              0.0013424
                     61,                 1.6344,                 2.0994,                 1.2502,                 1.0976,                0.35193,                0.27125,                0.21283,                0.11373,                0.30516,                0.21715,                0.18362,                0.08139,                 2.0727,                 2.5935,                  2.181,                 1.3525,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.6325,                 2.1425,                 1.2361,                 1.0993,                0.36113,                0.29855,                0.25268,                  0.126,                0.35888,                0.19804,                0.19448,                0.07174,                 2.1105,                 2.7011,                 1.8138,                 1.4275,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.6467,                 2.1442,                 1.2507,                 1.0966,                 0.4345,                0.26964,                0.24374,                0.12385,                0.32095,                0.22348,                0.19246,                0.08496,                 2.0284,                 2.8026,                 2.2001,                 1.2601,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.6405,                 2.1592,                 1.2787,                 1.1067,                0.38408,                0.28379,                0.25688,                0.12323,                0.37899,                0.17881,                0.18782,                0.07924,                 2.1061,                 2.8272,                 2.2082,                 1.3284,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.6554,                 2.1532,                 1.2975,                 1.1123,                0.39772,                0.25376,                 0.2307,                0.11274,                0.32949,                0.20114,                0.16947,                0.07362,                 2.0157,                 2.9891,                 2.4537,                 1.3081,              0.0013149,              0.0013149,              0.0013149
                     66,                 1.6703,                 2.1774,                 1.2915,                 1.1077,                0.32143,                0.29098,                0.23223,                0.11534,                0.23159,                 0.2097,                0.17663,                0.07264,                 1.9956,                 3.0702,                 2.1918,                   1.26,              0.0013094,              0.0013094,              0.0013094
                     67,                   1.63,                 2.1425,                 1.2362,                 1.0873,                0.36952,                0.24743,                 0.2092,                0.10435,                0.26253,                0.21387,                0.17025,                0.07107,                 2.0173,                  2.813,                 2.2364,                 1.2654,              0.0013039,              0.0013039,              0.0013039
                     68,                 1.6398,                 2.1462,                 1.2397,                 1.0928,                0.37109,                0.27138,                0.24798,                0.12004,                0.26805,                0.20784,                0.18475,                0.07069,                 2.0748,                 2.8677,                 2.0678,                 1.4137,              0.0012984,              0.0012984,              0.0012984
                     69,                 1.6293,                  2.141,                 1.2401,                 1.0977,                0.37095,                0.30851,                0.24001,                0.12061,                0.28501,                0.20623,                0.17035,                0.07541,                 1.9847,                 2.6928,                 2.1752,                 1.2678,              0.0012929,              0.0012929,              0.0012929
                     70,                 1.6137,                 2.1012,                 1.2179,                 1.0783,                0.34345,                0.26031,                0.23324,                0.11436,                0.24796,                0.19816,                0.16635,                0.07179,                 1.9876,                 2.6173,                  2.067,                   1.34,              0.0012874,              0.0012874,              0.0012874
