                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                  1.395,                 1.0001,                 1.2369,                0.43283,                0.26791,                0.25361,                0.12234,                 2.2256,                 2.2668,                 2.1299,              0.0010289,              0.0010289,              0.0010289
                    118,                 1.3808,                0.98549,                 1.2261,                 0.3757,                 0.3235,                0.27122,                0.13493,                 2.2236,                 2.6081,                 2.1363,              0.0010234,              0.0010234,              0.0010234
                    119,                 1.3904,                 0.9769,                 1.2284,                0.37742,                0.26617,                0.25697,                0.12862,                 2.1893,                 2.3722,                 2.1093,              0.0010179,              0.0010179,              0.0010179
                    120,                 1.3976,                0.98632,                 1.2314,                0.40781,                 0.2596,                0.25016,                0.13039,                  2.172,                 2.4465,                 2.1935,              0.0010124,              0.0010124,              0.0010124
                    121,                 1.3688,                0.96889,                 1.2274,                 0.4094,                0.28851,                0.26153,                 0.1295,                 2.1638,                 2.2771,                 2.1401,              0.0010069,              0.0010069,              0.0010069
                    122,                 1.3698,                0.96465,                 1.2135,                0.36877,                0.26182,                0.22764,                 0.1135,                 2.2123,                 2.1659,                 2.1723,              0.0010014,              0.0010014,              0.0010014
                    123,                  1.397,                0.99151,                 1.2322,                0.40557,                0.24085,                0.23982,                0.12236,                 2.1874,                 2.6332,                 2.0402,             0.00099587,             0.00099587,             0.00099587
                    124,                 1.3826,                0.96826,                  1.219,                0.29849,                0.30314,                0.23476,                0.11748,                 2.2127,                 2.4034,                 2.1189,             0.00099036,             0.00099036,             0.00099036
                    125,                 1.3883,                0.96571,                 1.2213,                  0.364,                0.29592,                0.24001,                0.11544,                 2.2804,                 2.2743,                 2.1528,             0.00098486,             0.00098486,             0.00098486
                    126,                 1.3568,                0.94116,                 1.2197,                0.31428,                0.30302,                0.24507,                0.11828,                 2.2556,                 2.5825,                 2.1906,             0.00097936,             0.00097936,             0.00097936
                    127,                 1.3346,                0.92265,                 1.2033,                0.33275,                0.24731,                0.20142,                0.09824,                 2.2392,                  2.596,                  2.241,             0.00097386,             0.00097386,             0.00097386
                    128,                 1.3525,                0.93165,                 1.2013,                0.42558,                0.23626,                0.24413,                0.12362,                 2.1292,                 2.2731,                 2.0705,             0.00096836,             0.00096836,             0.00096836
                    129,                 1.3421,                0.93041,                 1.2034,                0.36928,                0.22969,                0.21151,                 0.1098,                 2.2224,                 2.7748,                 2.1862,             0.00096286,             0.00096286,             0.00096286
